game_id,turn,snake_id,snake_name,health,length,alive
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,0,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,100,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,0,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,100,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,1,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,99,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,1,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,99,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,2,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,98,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,2,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,98,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,2,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,98,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,2,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,98,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,3,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,97,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,3,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,97,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,3,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,97,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,3,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,97,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,4,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,96,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,4,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,100,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,4,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,96,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,4,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,100,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,5,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,95,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,5,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,99,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,5,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,95,3,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,5,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,99,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,6,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,98,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,6,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,95,3,0
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,7,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,98,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,7,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,95,3,0
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,7,abd477c8-2821-47d4-8e68-811f0ec3c06d,Snake2,98,4,1
e4a005d5-ac78-4f04-9cc8-457e8428e2b1,7,ff5f1c11-1751-413b-9d1b-2664bb1a6f45,Snake1,95,3,0
