game_id,turn,snake_id,snake_name,health,length,alive
e4023cb0-2a14-4f0b-be35-a2da01c55b24,0,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,100,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,0,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,100,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,0,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,100,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,0,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,100,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,1,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,99,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,98,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,98,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,100,4,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,0
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,98,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,98,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,100,4,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,0
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,98,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,98,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,259ae78d-346e-4aa1-b638-235d1409f780,MCTS1,100,4,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,2,2288e9f9-743b-4cca-bef1-59a154a82da0,MCTS Heuristic 2,99,3,0
e4023cb0-2a14-4f0b-be35-a2da01c55b24,3,083dd400-7095-4eb7-82b6-b3884912bced,MCTS Heuristic 1,97,3,1
e4023cb0-2a14-4f0b-be35-a2da01c55b24,3,d472ddc9-fc15-4f18-b389-3351cdcf7243,Heuristic1,97,3,1
