weight,value,wins,games,winrate,elo,mu,sigma,conservative
free_space_weight,20,63,300,0.21,894.3665948376371,24.177801332303183,0.6715790425321622,22.163064204706696
free_space_weight,50,62,300,0.20666666666666667,1033.7824843475328,23.71812848560545,0.6727228053022811,21.69996006969861
free_space_weight,100,67,300,0.22333333333333333,1081.7006793566763,25.459674216535845,0.6692085744645707,23.452048493142133
free_space_weight,200,65,300,0.21666666666666667,969.1914787531714,25.19383572814603,0.6699377118999051,23.184022592446315
free_space_weight,500,65,300,0.21666666666666667,959.9469943962714,24.114509146549178,0.6699765040948432,22.10457963426465
dead_end_penalty_weight,25,87,300,0.29,941.524620665267,24.71858178542181,0.6710192429757573,22.70552405649454
dead_end_penalty_weight,50,74,300,0.24666666666666667,969.6343728151813,25.42159850886194,0.6672196488010094,23.419939562458914
dead_end_penalty_weight,150,79,300,0.2633333333333333,1081.557599270733,24.18244242857253,0.6705881260389115,22.170678050455795
dead_end_penalty_weight,300,69,300,0.23,948.0581257901724,24.08639125643073,0.6674415295680822,22.084066667726482
dead_end_penalty_weight,500,83,300,0.27666666666666667,1006.4167600613891,25.258883321067387,0.667792528569529,23.2555057353588
nearest_food_distance_weight_h,1.0,49,300,0.16333333333333333,1030.8020517316927,24.705853905500085,0.6666773451943534,22.705821869917024
nearest_food_distance_weight_h,2.0,79,300,0.2633333333333333,966.3264554584108,24.8712104926756,0.6688605471029964,22.86462885136661
nearest_food_distance_weight_h,4.0,101,300,0.33666666666666667,1082.9400605515073,25.96647447719584,0.6742172690850209,23.943822669940776
nearest_food_distance_weight_h,8.0,94,300,0.31333333333333335,1113.9426564730168,25.102299717815846,0.673017240215809,23.08324799716842
nearest_food_distance_weight_l,3.0,74,300,0.24666666666666667,947.7902720486768,24.69009651011974,0.6672810940094024,22.688253228091533
nearest_food_distance_weight_l,6.0,65,300,0.21666666666666667,1027.678535968858,25.201921081589663,0.6694503419044453,23.19357005587633
nearest_food_distance_weight_l,10.0,71,300,0.23666666666666666,911.7265006466865,25.095049421152595,0.6689602559092769,23.088168653424766
food_avoid_penalty,0.0,99,300,0.33,942.4983849816504,24.58648554108062,0.6699265967042792,22.576705750967783
food_avoid_penalty,0.2,93,300,0.31,885.5135250122388,25.692540671783842,0.6704871091434835,23.681079344353392
food_avoid_penalty,0.6,71,300,0.23666666666666666,962.2191217049938,24.920518831176636,0.6722942313435153,22.90363613714609
food_avoid_penalty,3.0,63,300,0.21,1046.4070432212284,24.028482957305222,0.6646890125189875,22.03441591974826
wall_clearence_weight,0.2,120,300,0.4,1005.5349169848356,25.942415220256848,0.6704644927677266,23.931021741953668
wall_clearence_weight,0.8,69,300,0.23,1004.7430155627547,24.094203592609514,0.6679117567913235,22.090468322235544
wall_clearence_weight,2.0,46,300,0.15333333333333332,993.5369619438865,24.522600713073622,0.6699411081663994,22.512777388574424
center_weight,0.2,109,300,0.36333333333333334,1057.0160632499478,26.48061047178624,0.6736888125222645,24.459544034219444
center_weight,0.5,122,300,0.4066666666666667,1121.855284304325,26.593662148376602,0.6754418643955903,24.567336555189833
center_weight,1.5,77,300,0.25666666666666665,961.2819246744727,25.404648152013504,0.6655826491620133,23.407900204527465
center_weight,3.0,47,300,0.15666666666666668,940.4492922883435,23.498308744412444,0.6754618105709409,21.471923312699623
head_to_head_weight,0.0,77,300,0.25666666666666665,827.5197582857386,23.984947168317994,0.6725924061579586,21.96716994984412
head_to_head_weight,1.0,81,300,0.27,1001.2943251996178,25.214991472299936,0.670369855337845,23.2038819062864
head_to_head_weight,3.0,79,300,0.2633333333333333,990.6388476430127,25.311044758210695,0.6726872043646502,23.292983145116743
danger_base,3.0,68,300,0.22666666666666666,843.4316867217635,23.291991078748183,0.6763559682396771,21.26292317402915
danger_base,8.0,75,300,0.25,1100.735912847773,25.16880709957046,0.6719818227546683,23.152861631306457
danger_base,15.0,78,300,0.26,1057.9648872812659,25.30017832910738,0.6677724287755197,23.29686104278082
danger_size_scale,0.5,82,300,0.2733333333333333,1015.8725179442313,25.20313017174649,0.669553889925571,23.194468501969776
danger_size_scale,1.5,81,300,0.27,1052.4609382543058,25.34663027595879,0.6697813714461313,23.337286161620398
danger_size_scale,3.0,89,300,0.2966666666666667,1083.8705485106868,25.792084868187942,0.6671809819542583,23.79054192232517
hazard_weight,5,71,300,0.23666666666666666,918.3386196698814,24.146870616181822,0.6705977109487015,22.135077483335717
hazard_weight,20,82,300,0.2733333333333333,998.2500104168664,25.169409033836548,0.6698427414340625,23.15988080953436
hazard_weight,50,75,300,0.25,951.7090815878056,25.568486395498713,0.6665751315982275,23.56876100070403
hazard_weight,100,89,300,0.2966666666666667,1091.52091358538,26.034756597758435,0.6697196654278791,24.025597601474797
hazard_weight,300,80,300,0.26666666666666666,1030.7169161123654,25.27418827679409,0.6699984391671464,23.26419295929265
